acpi 1.7-3
adobe-base-14-fonts 3.01-4
adobe-icc CS4-3
adwaita-shell-theme 40.3-1
alsa-utils 1.2.5.1-1
arc-solid-gtk-theme 20210412-1
aspell-sv 0.51-3
audacious-gtk3 4.1-1
audacious-plugins-gtk3 4.1-1
autoconf 2.71-1
automake 1.16.4-1
awesome-terminal-fonts 1.1.0-4
base 2-2
bash-completion 2.11-2
bat 0.18.2-1
binutils 2.36.1-3
bison 3.7.6-1
blueberry 1.4.4-1
bluez 5.60-1
bluez-utils 5.60-1
bpytop 1.0.67-1
brave-bin 1:1.28.106-1
caffeine-ng 3.5.1-2
calcurse 4.7.1-1
chromaprint-fftw 1.5.0-3
chromium 92.0.4515.159-1
clamtk 6.13-1
cups 1:2.3.3op2-3
davs2 1.6-7
decklink-sdk 1:12.1-1
deepin-wallpapers 1:1.7.7-2
dialog 1:1.3_20210621-1
dockd 1.3-2
downgrade 10.1.0-1
dunst 1.6.1-2
efibootmgr 17-2
emacs 27.2-1
evince 40.4-1
fakeroot 1.25.3-2
fd 8.2.1-1
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
file 5.40-5
findutils 4.8.0-1
firefox 91.0.1-1
fish 3.3.1-1
flatpak 1.11.2-1
flex 2.6.4-3
flite1-patched 1.4-3
fuse2 2.9.9-4
fzf 0.27.2-1
gawk 5.1.0-1
gcc 11.1.0-1
gettext 0.21-1
gimp 2.10.24-6
git 2.33.0-1
go 2:1.17-1
grep 3.6-1
groff 1.22.4-6
grub 2:2.06-1
gvfs 1.48.1-1
gzip 1.10-3
htop 3.0.5-1
hunspell-sv 1:2.42-1
inkscape 1.1-5
intel-ucode 20210608-1
joplin-appimage 2.3.3-1
kdenlive 21.08.0-1
keepassxc 2.6.6-1
klavaro 3.13-1
krita 4.4.7-1
leafpad 0.8.18.1-9
libcmrt 1.0.6-2
libklvanc-git r504.a16bbe3-1
libopenmpt-svn 0.6.r14351-1
libreoffice-still 7.0.6-4
libreoffice-still-sv 7.0.6-1
libthinkpad 2.6-5
libtool 2.4.6+42+gb88cebd5-16
libva-intel-driver 2.4.1-1
libva-utils 2.12.0-1
libxft-bgra 2.3.3.r7.7808631e-1
linux-firmware 20210716.b7c134f-1
linux-lts 5.10.56-1
linux-lts-headers 5.10.56-1
lxappearance 0.6.3-4
m4 1.4.19-1
make 4.3-3
mate-polkit 1.26.0-1
mesa 21.2.0-1
mlocate 0.26.git.20170220-7
mpc 0.33-3
mpd 0.22.10-1
mpv 1:0.33.1-2
mtools 1:4.0.35-1
ncmpcpp 0.9.2-3
ncspot 0.8.1-1
neofetch 7.1.0-2
neovim 0.5.0-1
nerd-fonts-fira-code 2.1.0-2
nerd-fonts-ubuntu-mono 2.1.0-2
network-manager-applet 1.24.0-1
networkmanager 1.32.10-1
newsboat 2.24-2
